month   price
1/01/2003   50
2/01/2003   60
3/01/2003   40
4/01/2003   90
5/01/2003   60
6/01/2003   40
7/01/2003   40
8/01/2003   60
9/01/2003   80
10/01/2003  60
11/01/2003  40
12/01/2003  90
1/01/2004   50
2/01/2004   60
3/01/2004   40
4/01/2004   90
5/01/2004   60
6/01/2004   40
7/01/2004   40
8/01/2004   60
9/01/2004   80
10/01/2004  60
11/01/2004  40
12/01/2004  90
1/01/2005   50
2/01/2005   60
3/01/2005   40
4/01/2005   90
5/01/2005   60
6/01/2005   40
7/01/2005   40
8/01/2005   60
9/01/2005   80
10/01/2005  60
11/01/2005  40
12/01/2005  90
1/01/2006   50
2/01/2006   60
3/01/2006   40
4/01/2006   90
5/01/2006   60
6/01/2006   40
7/01/2006   40
8/01/2006   60
9/01/2006   80
10/01/2006  60
11/01/2006  40
12/01/2006  90
